EXPERIMENT: exp_standard_map_anticorrelated_kicks | Status: CONFIRMED | Results: hypothesis.antipersistence_suppresses_transport +0.00076718 +/- 9.5267e-06 (d=1.63, 98.2% sign-consistent); summary.narrow_pair_quiet_window_gain_mean +0.024167 +/- 0.00015076 (d=3.24, 100.0% sign-consistent). 2445 seeds, 18 hosts. Last updated: 2026-03-08
EXPERIMENT: exp_forestfire_patchy_moisture_memory | Status: CONFIRMED | Results: summary.best_spanning_gain +0.028699 +/- 0.00010551 (d=6.34, 100.0% sign-consistent); summary.best_wind_bias +1.5851 +/- 0.0082617 (d=4.47, 100.0% sign-consistent). 1843 seeds, 25 hosts. Last updated: 2026-03-08
EXPERIMENT: exp_contact_process_multiplex_activity_crossover | Status: CONFIRMED | Results: summary.positive_corr_overlap_drop +0.026704 +/- 0.00022077 (d=2.82, 100.0% sign-consistent); summary.intermediate_overlap_negative_vs_positive_gap +0.0051947 +/- 0.00034501 (d=0.35, 79.8% sign-consistent). 1837 seeds, 21 hosts. Last updated: 2026-03-08
EXPERIMENT: exp_nasch_incident_memory_heterogeneity | Status: CONFIRMED | Results: summary.best_combined_gain +1.1219 +/- 9.3104e-05 (d=283.31, 100.0% sign-consistent); summary.best_incident_duration +11.237 +/- 0.12526 (d=2.11, 100.0% sign-consistent). 1809 seeds, 24 hosts. Last updated: 2026-03-08
EXPERIMENT: exp_spacing_ratio_crossover | Status: CONFIRMED | Results: summary.scaling_collapse_mean_lam_c_sqrtN +0.65196 +/- 0.00014712 (d=102.59, 100.0% sign-consistent); summary.scaling_collapse_cv +0.036937 +/- 0.00020306 (d=4.21, 100.0% sign-consistent). 1866 seeds, 33 hosts. Last updated: 2026-03-08
EXPERIMENT: exp_markov_branching_rescue_correlation | Status: CONFIRMED | Results: summary.hypothesis_signal.correlated_peak_survival_excess +0.032168 +/- 3.6529e-05 (d=26.27, 100.0% sign-consistent); summary.hypothesis_signal.rescue_correlation_peak_gap +0.031358 +/- 3.7254e-05 (d=25.11, 100.0% sign-consistent). 1124 seeds, 36 hosts. Last updated: 2026-03-08
EXPERIMENT: exp_sandpile_smallworld_avalanche_correlations | Status: REJECTED | Results: summary.sign_transition_found +0.55464 +/- 0.01033 (d=1.12, 55.5% sign-consistent); acf_lag1_gain_p1_vs_p0 -0.00759 +/- 0.00012 (d=-1.32, 96.4% sign-consistent); best_high_rewire_acf_lag1 -0.00665 +/- 0.00020 (d=-0.69, 96.9% sign-consistent). 2315 seeds, 46 hosts. Last updated: 2026-03-09
EXPERIMENT: exp_kac_markov_sign_edge_clustering | Status: REJECTED | Results: summary.mean_pos_persistence_edge_shift -0.00202 +/- 8.80457e-06 (d=-5.34, 100.0% sign-consistent); summary.mean_antipersistent_edge_shift -0.00202 +/- 8.82792e-06 (d=-5.33, 99.9% sign-consistent); summary.mean_pos_persistence_pm1_gap_shift +2.05255e-05 +/- 6.08600e-06 (d=0.08, 53.0% sign-consistent). 1845 seeds, 31 hosts. Last updated: 2026-03-09
EXPERIMENT: exp_parrondo_history_boundary | Status: CONFIRMED | Results: summary.n_boundary_crossings +6.61794 +/- 0.01204 (d=13.62, 100.0% sign-consistent); summary.winning_point_fraction +0.04330 +/- 5.87381e-05 (d=18.27, 100.0% sign-consistent); summary.max_mean_drift +0.04165 +/- 6.57173e-06 (d=157.08, 100.0% sign-consistent). 1628 seeds, 37 hosts. Last updated: 2026-03-09
EXPERIMENT: exp_quasispecies_neutral_dormancy_switching | Status: REJECTED | Results: summary.mean_peak_advantage -0.01997 +/- 0.00062 (d=-32.38, 100.0% sign-consistent); summary.positive_peak_fraction +0.08013 +/- 0.01184 (d=6.77, 100.0% sign-consistent); summary.mean_best_dormancy_rate +0.02372 +/- 0.00330 (d=7.18, 100.0% sign-consistent). 242 seeds, 16 hosts. Last updated: 2026-03-11
EXPERIMENT: exp_run_tumble_refuge_heavytail | Status: REJECTED | Results: summary.mean_heavy_tail_peak -0.01678 +/- 0.00269 (d=-6.24, 100.0% sign-consistent); summary.positive_peak_fraction +0.35961 +/- 0.01729 (d=20.80, 100.0% sign-consistent); summary.mean_heavy_vs_light_score +0.08361 +/- 0.00100 (d=83.21, 100.0% sign-consistent). 221 seeds, 14 hosts. Last updated: 2026-03-11
EXPERIMENT: exp_forestfire_windshift_burnscar_resonance | Status: CONFIRMED | Results: summary.mean_intermediate_persistence_bonus +0.00390 +/- +6.29871e-05 (d=+4.05, 100.0% sign-consistent); summary.mid_persistence_best_fraction +0.53747 +/- +0.00131 (d=+26.87, 100.0% sign-consistent); summary.mean_best_overall_suppression_gain +0.05023 +/- +7.28828e-05 (d=+45.15, 100.0% sign-consistent). 233 seeds, 24 hosts. Last updated: 2026-03-11
EXPERIMENT: exp_trophic_selfreg_coherence_crossover | Status: NO EFFECT | Results: summary.apex_vs_basal_wedge_gain_mean +4.29892e-06 +/- 3.08413e-05 (d=+0.14, 39.4% sign-consistent); summary.coherence_wedge_corr_mean -0.17801 +/- 0.37352 (d=-0.48, 57.5% sign-consistent); summary.apex_vs_basal_ipr_shift_mean -0.00613 +/- 0.00381 (d=-1.61, 87.0% sign-consistent). 254 seeds, 27 hosts. Last updated: 2026-03-11
EXPERIMENT: exp_swift_hohenberg_quasiperiodic_pinning_gpu | Status: DEPLOYED | Hypothesis: near the finite-time quench defect window, quasiperiodic pinning frustrates stripe coarsening more strongly than single-axis periodic pinning at intermediate amplitudes, increasing residual defect density while preserving more isotropic spectra; novelty check on 2026-03-11 searched "Swift-Hohenberg quasiperiodic pinning defects quench paper", "Swift-Hohenberg quasiperiodic forcing paper", "pattern formation quasiperiodic pinning Swift-Hohenberg arXiv", and "quasicrystal Swift-Hohenberg quench defects paper"; found quasipattern, pinning, and quench/coarsening literature separately but no direct crossover map for this interaction. Initial GPU deployment staged on 2026-03-11. Last updated: 2026-03-11
EXPERIMENT: exp_metapop_predator_delay_refuge_reentrance | Status: REJECTED | Results: summary.mean_gain_vs_best_alt -0.01780 +/- 0.00063 (d=-28.31, 100.0% sign-consistent); summary.positive_gain_rate +0.00302 +/- 0.00022 (d=14.04, 100.0% sign-consistent); summary.reentrant_index +8.9756e-04 +/- 0.00115 (d=+0.78, 86.8% sign-consistent). 197 seeds, 24 hosts. Last updated: 2026-03-11
