EXPERIMENT: exp_muller_ratchet_seedbank_corridor_synergy | Status: CONFIRMED | Results: best score +2.59899 +/- 0.15538 (d=16.73, 100.0% sign-consistent); max superadditivity +0.59004 +/- 0.27107 (d=2.18, 100.0% sign-consistent). 1012 seeds, 30 hosts. Last updated: 2026-03-11
EXPERIMENT: exp_muller_ratchet_seedbank_refuge_tradeoff | Status: CONFIRMED | Results: best score +0.84297 +/- 0.07563 (d=11.15, 100.0% sign-consistent); max refuge-bank synergy +0.18821 +/- 0.12472 (d=1.51, 99.7% sign-consistent). 991 seeds, 28 hosts. Last updated: 2026-03-11
EXPERIMENT: exp_depinning_mixed_columnar_crossover | Status: CONFIRMED | Results: best localization gain +0.02053 +/- 0.00430 (d=4.77, 100.0% sign-consistent); intermediate positive fraction +0.59576 +/- 0.01818 (d=32.77, 100.0% sign-consistent). 308 seeds, 26 hosts. Last updated: 2026-03-11
EXPERIMENT: exp_hypercycle_compartment_pulse_inheritance | Status: CONFIRMED | Results: best synergy gain +0.02651 +/- 0.00927 (d=2.86, 100.0% sign-consistent); best occupancy gain -0.00334 +/- 0.00337 (d=-0.99, 15.7% sign-consistent). 307 seeds, 24 hosts. Last updated: 2026-03-11
EXPERIMENT: exp_sparse_wigner_tw_edge | Status: CONFIRMED | Results: N=64,c=16 rescaled-edge shift -0.07570 +/- 0.23460 (d=-0.32, 84.3% sign-consistent); N=512,c=64 rescaled-edge shift -121.37257 +/- 10.61640 (d=-11.43, 100.0% sign-consistent). 2275 seeds, 53 hosts. Last updated: 2026-03-11
EXPERIMENT: exp_allencahn_crossed_quench_bias_gpu_gpu | Status: REJECTED | Results: summary.mid_crossed_vs_parallel_isotropy_gain_mean +0.31538 +/- 0.02466 (d=12.79, 100.0% sign-consistent); summary.mid_crossed_vs_iid_isotropy_gain_mean -0.63275 +/- 0.02335 (d=-27.10, 100.0% sign-consistent). 82 seeds, 11 hosts. Last updated: 2026-03-11
EXPERIMENT: exp_may_nested_mutualism_localization_gpu_gpu | Status: REJECTED | Results: summary.mean_u_shape_window_gain -0.01653 +/- 0.00086 (d=-19.16, 100.0% sign-consistent); summary.support_fraction_u_shape +0.58698 +/- 0.01229 (d=47.76, 100.0% sign-consistent). 45 seeds, 9 hosts. Last updated: 2026-03-11
EXPERIMENT: exp_nasch_anticipation_heterogeneity | Status: CONFIRMED | Results: broad jam drop vs homogeneous mid-density +0.00416 +/- 0.00138 (d=3.02, 99.2% sign-consistent); broad wave drop vs homogeneous mid-density +0.00473 +/- 0.00249 (d=1.90, 97.6% sign-consistent). 392 seeds, 27 hosts. Last updated: 2026-03-11
EXPERIMENT: exp_swift_hohenberg_checkerboard_pinning_gpu | Status: CONFIRMED | Results: summary.mid_tau_medium_amp_checkerboard_defect_excess_mean +0.13621 +/- 0.00404 (d=33.71, 100.0% sign-consistent); summary.mid_tau_medium_amp_checkerboard_isotropy_gain_mean +0.48949 +/- 0.05058 (d=9.68, 100.0% sign-consistent); summary.mid_tau_checkerboard_nonmonotone_excess_mean +0.06090 +/- 0.00457 (d=13.32, 100.0% sign-consistent). 82 seeds, 16 hosts. Last updated: 2026-03-11
EXPERIMENT: exp_kauffman_autocatalytic_threshold | Status: CONFIRMED | Results: summary.mean_pc_N400 +0.77560 +/- 0.00013 (d=374.11, 100.0% sign-consistent); summary.mean_gamma_over_nu +0.34541 +/- 0.00039 (d=56.64, 100.0% sign-consistent). 245 seeds, 883 hosts. Last updated: 2026-03-05
EXPERIMENT: exp_metapop_hub_susceptibility_alignment_gpu_gpu | Status: REJECTED | Results: summary.positive_alignment_window_gain_mean -0.0011604 +/- 9.0925e-05 (d=-12.76, 100.0% sign-consistent); summary.negative_alignment_hub_mass_shift_mean -0.20496 +/- 0.00704 (d=-29.10, 100.0% sign-consistent); summary.anti_alignment_suppression_support_mean +0.52010 +/- 0.00808 (d=64.40, 100.0% sign-consistent). 43 seeds, 8 hosts. Last updated: 2026-03-11
EXPERIMENT: exp_branching_overdispersion_environment_resonance | Status: CONFIRMED | Results: summary.mean_interior_peak_excess +0.33260 +/- 0.00006 (d=168.40, 100.0% sign-consistent); summary.interior_peak_rate +0.65900 +/- 0.00018 (d=102.22, 100.0% sign-consistent). 1269 seeds, 19 hosts. Last updated: 2026-03-10
EXPERIMENT: exp_langton_ant_frozen_stripe_disorder | Status: CONFIRMED | Results: summary.corridor_success_gain_mean +0.35882 +/- 0.00014 (d=56.78, 100.0% sign-consistent); summary.corridor_onset_advance_mean +0.43042 +/- 0.00011 (d=89.90, 100.0% sign-consistent). 2075 seeds, 32 hosts. Last updated: 2026-03-10
EXPERIMENT: exp_rsa_obstacle_persistence_window | Status: REJECTED | Results: summary.coverage_gain_mean +0.07119 +/- 0.00000 (d=1204.89, 100.0% sign-consistent); summary.fragmentation_drop_mean -0.00011 +/- 0.00000 (d=-13.74, 100.0% sign-consistent). 996 seeds, 26 hosts. Last updated: 2026-03-10
EXPERIMENT: exp_hypercycle_delay_dilution_rescue | Status: REJECTED | Results: summary.delayed_dom +0.11953 +/- 0.00004 (d=93.19, 100.0% sign-consistent); summary.delayed_div +0.89538 +/- 0.00001 (d=2752.79, 100.0% sign-consistent). 1143 seeds, 33 hosts. Last updated: 2026-03-10
EXPERIMENT: exp_metapop_seedbank_corridor_correlation | Status: CONFIRMED | Results: summary.best_survival_gain +0.99952 +/- 0.00005 (d=564.12, 100.0% sign-consistent). 1234 seeds, 29 hosts. Last updated: 2026-03-10
EXPERIMENT: exp_littlewood_block_realroot_crossover | Status: REJECTED | Results: summary.edge_mass_gain_mean -0.07365 +/- 0.00015 (d=-17.95, 100.0% sign-consistent); summary.max_block_suppression_mean +0.49197 +/- 0.00013 (d=133.19, 100.0% sign-consistent). 792 seeds, 22 hosts. Last updated: 2026-03-10
