Axiom validation log 2026-03-07_0554

Session summary
- Uncredited experiment results seen in DB: 1727
- Sanitized files ready and reviewed: 1271
- Results still waiting on sanitized files: 456
- Credit awarded this session: 10000
- Credited results this session: 1271
- Credit distribution: 1103 results at 8 credit, 168 results at 7 credit
- Experiment mix reviewed: may_heterogeneity_reactivity_localization 735, trophic_coherence_reactivity_localization 257, may_ecosystem_stability_structure 244, muller_ratchet_fluctuating_metapop 35

Cleanup and failure review
- Stuck task cleanup query affected 0 rows
- No experiment script changes were made
- No active experiment was aborted: recent failures for trophic_coherence_reactivity_localization and may_ecosystem_stability_structure were outcome 5/6 rows without stderr tracebacks, so this pass did not show a reproducible script crash to justify aborting active work

Per-user totals after credit update
- user 1: +626 this session -> total_credit 23814.645579000007
- user 10: +513 this session -> total_credit 31451.48600000001
- user 22: +32 this session -> total_credit 2041.0
- user 40: +3824 this session -> total_credit 741206.4271749984
- user 56: +1296 this session -> total_credit 157102.62
- user 67: +160 this session -> total_credit 4650.936
- user 88: +2558 this session -> total_credit 9615.5
- user 90: +739 this session -> total_credit 70196.52100000001
- user 127: +252 this session -> total_credit 12354.199999999993

Results reviewed this session
- result 1803961 (host 345): exp_may_ecosystem_stability_structure_c9f054_2 — elapsed 1100.637s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1803962 (host 345): exp_may_ecosystem_stability_structure_5ba42e_2 — elapsed 1107.923s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1803965 (host 345): exp_may_ecosystem_stability_structure_5657f8_2 — elapsed 1104.937s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1803966 (host 345): exp_may_ecosystem_stability_structure_a69a1a_2 — elapsed 1103.896s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1803967 (host 345): exp_may_ecosystem_stability_structure_d1aa63_2 — elapsed 1107.360s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1803968 (host 345): exp_may_ecosystem_stability_structure_beb631_2 — elapsed 1104.928s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1803970 (host 345): exp_may_ecosystem_stability_structure_9357b4_2 — elapsed 1105.369s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1803973 (host 345): exp_may_ecosystem_stability_structure_c1a4fe_2 — elapsed 1105.908s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1803974 (host 345): exp_may_ecosystem_stability_structure_f9bd8f_2 — elapsed 1111.834s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1803975 (host 345): exp_may_ecosystem_stability_structure_7dfe46_2 — elapsed 1104.864s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1803982 (host 345): exp_may_ecosystem_stability_structure_a37508_2 — elapsed 1088.179s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1803983 (host 345): exp_may_ecosystem_stability_structure_b3dbb5_2 — elapsed 1092.170s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1803984 (host 327): exp_may_ecosystem_stability_structure_d56d41_2 — elapsed 849.954s, 152 numeric values, distinct 151, large_numeric_payload, 152_values -> 8 credit
- result 1803985 (host 327): exp_may_ecosystem_stability_structure_87557e_2 — elapsed 877.415s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1803986 (host 327): exp_may_ecosystem_stability_structure_e0eb2e_2 — elapsed 872.371s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1803987 (host 327): exp_may_ecosystem_stability_structure_c46a4d_2 — elapsed 868.048s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1803988 (host 327): exp_may_ecosystem_stability_structure_73e770_2 — elapsed 875.211s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1803989 (host 327): exp_may_ecosystem_stability_structure_2eb856_2 — elapsed 873.145s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1803990 (host 325): exp_may_ecosystem_stability_structure_326147_2 — elapsed 858.875s, 152 numeric values, distinct 151, large_numeric_payload, 152_values -> 8 credit
- result 1803992 (host 327): exp_may_ecosystem_stability_structure_57a439_2 — elapsed 867.097s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1803993 (host 327): exp_may_ecosystem_stability_structure_4634e2_2 — elapsed 884.197s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1803995 (host 327): exp_may_ecosystem_stability_structure_3e4821_2 — elapsed 864.949s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1803996 (host 327): exp_may_ecosystem_stability_structure_40286b_2 — elapsed 865.990s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1803997 (host 327): exp_may_ecosystem_stability_structure_400ce1_2 — elapsed 866.966s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1803998 (host 327): exp_may_ecosystem_stability_structure_2f85e5_2 — elapsed 860.475s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1804000 (host 327): exp_may_ecosystem_stability_structure_7980cb_3 — elapsed 866.532s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1804001 (host 324): exp_may_ecosystem_stability_structure_57867f_2 — elapsed 867.120s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1804002 (host 327): exp_may_ecosystem_stability_structure_d7e74e_2 — elapsed 865.525s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1804003 (host 327): exp_may_ecosystem_stability_structure_28c3a2_2 — elapsed 861.466s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1804010 (host 324): exp_may_ecosystem_stability_structure_e305ac_2 — elapsed 864.097s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1804014 (host 324): exp_may_ecosystem_stability_structure_009226_2 — elapsed 874.221s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1804015 (host 324): exp_may_ecosystem_stability_structure_a5e35e_2 — elapsed 874.180s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1804016 (host 324): exp_may_ecosystem_stability_structure_3b03dc_2 — elapsed 870.242s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1804017 (host 1): exp_may_ecosystem_stability_structure_64f75c_2 — elapsed 853.239s, 33 numeric values, distinct 32, multi_measurement_payload, 33_values -> 7 credit
- result 1804018 (host 324): exp_may_ecosystem_stability_structure_7dc42a_2 — elapsed 869.239s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1804020 (host 324): exp_may_ecosystem_stability_structure_8d7153_2 — elapsed 880.095s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1804021 (host 1): exp_may_ecosystem_stability_structure_3e3262_2 — elapsed 1103.257s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1804022 (host 324): exp_may_ecosystem_stability_structure_865311_2 — elapsed 866.180s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1804024 (host 324): exp_may_ecosystem_stability_structure_222976_2 — elapsed 862.801s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1804025 (host 324): exp_may_ecosystem_stability_structure_0be8d9_2 — elapsed 867.889s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1804026 (host 1): exp_may_ecosystem_stability_structure_49fd99_2 — elapsed 1093.394s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1804027 (host 324): exp_may_ecosystem_stability_structure_bc88ab_2 — elapsed 864.825s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1804030 (host 1): exp_may_ecosystem_stability_structure_c909ae_2 — elapsed 1075.864s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1804031 (host 324): exp_may_ecosystem_stability_structure_2200ce_2 — elapsed 870.244s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1804032 (host 324): exp_may_ecosystem_stability_structure_9dfd4f_2 — elapsed 870.279s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1804035 (host 29): exp_may_ecosystem_stability_structure_98a685_2 — elapsed 897.283s, 61 numeric values, distinct 60, multi_measurement_payload, 61_values -> 7 credit
- result 1804037 (host 29): exp_may_ecosystem_stability_structure_f448bf_2 — elapsed 856.108s, 61 numeric values, distinct 60, multi_measurement_payload, 61_values -> 7 credit
- result 1804038 (host 29): exp_may_ecosystem_stability_structure_9353bb_2 — elapsed 950.296s, 68 numeric values, distinct 67, multi_measurement_payload, 68_values -> 7 credit
- result 1804042 (host 29): exp_may_ecosystem_stability_structure_053d78_2 — elapsed 857.664s, 61 numeric values, distinct 60, multi_measurement_payload, 61_values -> 7 credit
- result 1804045 (host 324): exp_may_ecosystem_stability_structure_626770_2 — elapsed 868.195s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1804046 (host 1): exp_may_ecosystem_stability_structure_8cfc99_2 — elapsed 1109.130s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1804047 (host 324): exp_may_ecosystem_stability_structure_71b28e_2 — elapsed 870.998s, 159 numeric values, distinct 158, large_numeric_payload, 159_values -> 8 credit
- result 1804048 (host 1): exp_may_ecosystem_stability_structure_33ab95_2 — elapsed 1092.191s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1804050 (host 1): exp_may_ecosystem_stability_structure_7f20de_2 — elapsed 1088.382s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1804054 (host 29): exp_may_ecosystem_stability_structure_85f298_2 — elapsed 897.283s, 61 numeric values, distinct 60, multi_measurement_payload, 61_values -> 7 credit
- result 1804057 (host 29): exp_may_ecosystem_stability_structure_e10d30_2 — elapsed 856.108s, 61 numeric values, distinct 60, multi_measurement_payload, 61_values -> 7 credit
- result 1804058 (host 29): exp_may_ecosystem_stability_structure_210be8_2 — elapsed 896.267s, 61 numeric values, distinct 60, multi_measurement_payload, 61_values -> 7 credit
