Axiom validation log 2026-03-08_2157

Session summary
- Results processed: 2972
- Batch 1 recovered from partial run: 2900 rows at mod_time 2026-03-08 21:53:53
- Batch 2 processed directly: 72 rows
- Denied sentinel (0.01): 540
- Denied empty_payload: 162
- Denied retired_experiment: 365
- Denied stub_filter: 13

Sampling and review notes
- Spot-checked 200 sanitized JSON files for payload quality and cross-host duplication
- No cross-host duplicate payloads were found in the sample
- Denied structural empty payloads when sanitized JSON lacked top-level experiment data
- Retired experiment families were denied per retired_experiments.txt

Results reviewed this session
- result 1930727 (host 87): exp_minority_game_delay_memory_interaction_8833a1_0 — nbytes=34646, elapsed=909.1s, payload=ok -> 4.40 credit
- result 1930824 (host 16): exp_contact_process_crossed_stripe_interaction_gpu_gpu_a0b890_0 — nbytes=53291, elapsed=860.4s, payload=ok -> 6.77 credit
- result 1930840 (host 87): exp_minority_game_delay_memory_interaction_e596bc_0 — nbytes=34617, elapsed=827.9s, payload=ok -> 4.40 credit
- result 1930862 (host 16): exp_kellersegel_crossed_resource_sensitivity_gpu_46826d_0 — nbytes=46364, elapsed=861.6s, payload=ok -> 5.89 credit
- result 1930863 (host 16): exp_contact_process_crossed_stripe_interaction_gpu_gpu_e69bcf_0 — nbytes=53284, elapsed=870.8s, payload=ok -> 6.77 credit
- result 1930935 (host 87): exp_minority_game_delay_memory_interaction_379756_0 — nbytes=34602, elapsed=908.5s, payload=ok -> 4.40 credit
- result 1930999 (host 85): exp_minority_game_delay_memory_interaction_2c5ea0_0 — nbytes=34596, elapsed=239.6s, payload=ok -> 4.40 credit
- result 1931030 (host 87): exp_minority_game_delay_memory_interaction_8cccfe_0 — nbytes=34584, elapsed=828.5s, payload=ok -> 4.39 credit
- result 1931053 (host 113): exp_minority_game_delay_memory_interaction_39742e_0 — nbytes=34666, elapsed=878.5s, payload=ok -> 4.40 credit
- result 1931116 (host 87): exp_minority_game_delay_memory_interaction_a023a0_0 — nbytes=34634, elapsed=899.5s, payload=ok -> 4.40 credit
- result 1931240 (host 190): exp_contact_process_crossed_stripe_interaction_gpu_gpu_2448ea_0 — nbytes=53289, elapsed=883.6s, payload=ok -> 6.77 credit
- result 1931251 (host 190): exp_kellersegel_crossed_resource_sensitivity_gpu_gpu_ebca88_0 — nbytes=46416, elapsed=883.2s, payload=ok -> 5.90 credit
- result 1931269 (host 113): exp_minority_game_delay_memory_interaction_141439_0 — nbytes=34617, elapsed=807.6s, payload=ok -> 4.40 credit
- result 1931286 (host 190): exp_kellersegel_crossed_resource_sensitivity_gpu_gpu_4c5e44_0 — nbytes=46441, elapsed=916.3s, payload=ok -> 5.90 credit
- result 1931365 (host 16): exp_spiked_covariance_mask_correlation_gpu_gpu_26723f_0 — nbytes=4102, elapsed=869.9s, payload=ok -> 1.00 credit
- result 1931401 (host 16): exp_cahnhilliard_crossed_mobility_bias_gpu_gpu_baa74d_0 — nbytes=3613, elapsed=861.4s, payload=ok -> 1.00 credit
- result 1931462 (host 230): exp_minority_game_delay_memory_interaction_2f40bd_0 — nbytes=34620, elapsed=544.8s, payload=ok -> 4.40 credit
